"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,,,
Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers
1993 Q1,England,E92000001,"75,000 ","54,000 ","25,000 ","61,000 ","44,000 ","21,000 ","63,000 ","45,000 ","22,000 ","49,000 ","40,000 ","19,000 ","80,000 ","51,000 ","25,000 "
1993 Q2,England,E92000001,"74,000 ","52,000 ","23,000 ","62,000 ","45,000 ","21,000 ","64,000 ","46,000 ","22,000 ","50,000 ","41,000 ","19,000 ","80,000 ","52,000 ","25,000 "
1993 Q3,England,E92000001,"74,000 ","51,000 ","24,000 ","64,000 ","46,000 ","22,000 ","66,000 ","47,000 ","22,000 ","50,000 ","41,000 ","19,000 ","84,000 ","53,000 ","26,000 "
1993 Q4,England,E92000001,"76,000 ","54,000 ","24,000 ","63,000 ","45,000 ","22,000 ","65,000 ","47,000 ","22,000 ","50,000 ","41,000 ","19,000 ","82,000 ","52,000 ","26,000 "
1994 Q1,England,E92000001,"76,000 ","53,000 ","24,000 ","63,000 ","46,000 ","22,000 ","65,000 ","47,000 ","22,000 ","49,000 ","41,000 ","19,000 ","85,000 ","54,000 ","27,000 "
1994 Q2,England,E92000001,"76,000 ","54,000 ","25,000 ","65,000 ","48,000 ","22,000 ","67,000 ","49,000 ","23,000 ","51,000 ","42,000 ","19,000 ","87,000 ","57,000 ","27,000 "
1994 Q3,England,E92000001,"76,000 ","54,000 ","25,000 ","67,000 ","49,000 ","23,000 ","69,000 ","49,000 ","23,000 ","51,000 ","42,000 ","19,000 ","89,000 ","57,000 ","28,000 "
1994 Q4,England,E92000001,"81,000 ","58,000 ","26,000 ","66,000 ","48,000 ","22,000 ","69,000 ","50,000 ","23,000 ","52,000 ","43,000 ","19,000 ","89,000 ","57,000 ","28,000 "
1995 Q1,England,E92000001,"77,000 ","57,000 ","27,000 ","62,000 ","47,000 ","22,000 ","65,000 ","48,000 ","23,000 ","49,000 ","42,000 ","19,000 ","85,000 ","55,000 ","28,000 "
1995 Q2,England,E92000001,"80,000 ","60,000 ","27,000 ","65,000 ","49,000 ","23,000 ","68,000 ","50,000 ","24,000 ","49,000 ","44,000 ","19,000 ","90,000 ","58,000 ","29,000 "
1995 Q3,England,E92000001,"83,000 ","60,000 ","28,000 ","68,000 ","50,000 ","23,000 ","71,000 ","51,000 ","24,000 ","48,000 ","43,000 ","19,000 ","93,000 ","59,000 ","29,000 "
1995 Q4,England,E92000001,"85,000 ","61,000 ","28,000 ","66,000 ","48,000 ","23,000 ","69,000 ","50,000 ","24,000 ","48,000 ","43,000 ","19,000 ","90,000 ","57,000 ","29,000 "
1996 Q1,England,E92000001,"84,000 ","60,000 ","29,000 ","66,000 ","49,000 ","23,000 ","68,000 ","50,000 ","24,000 ","48,000 ","43,000 ","19,000 ","91,000 ","59,000 ","29,000 "
1996 Q2,England,E92000001,"87,000 ","64,000 ","29,000 ","69,000 ","50,000 ","24,000 ","71,000 ","52,000 ","25,000 ","50,000 ","45,000 ","20,000 ","90,000 ","58,000 ","29,000 "
1996 Q3,England,E92000001,"90,000 ","64,000 ","30,000 ","74,000 ","53,000 ","26,000 ","76,000 ","54,000 ","26,000 ","52,000 ","46,000 ","21,000 ","96,000 ","61,000 ","31,000 "
1996 Q4,England,E92000001,"94,000 ","66,000 ","30,000 ","70,000 ","52,000 ","25,000 ","72,000 ","53,000 ","25,000 ","50,000 ","45,000 ","20,000 ","93,000 ","60,000 ","30,000 "
1997 Q1,England,E92000001,"100,000 ","68,000 ","33,000 ","73,000 ","54,000 ","25,000 ","75,000 ","55,000 ","26,000 ","50,000 ","46,000 ","20,000 ","96,000 ","62,000 ","30,000 "
1997 Q2,England,E92000001,"96,000 ","68,000 ","32,000 ","76,000 ","55,000 ","26,000 ","78,000 ","57,000 ","27,000 ","52,000 ","48,000 ","21,000 ","99,000 ","64,000 ","31,000 "
1997 Q3,England,E92000001,"97,000 ","69,000 ","32,000 ","79,000 ","57,000 ","27,000 ","81,000 ","58,000 ","27,000 ","57,000 ","50,000 ","22,000 ","101,000 ","65,000 ","32,000 "
1997 Q4,England,E92000001,"96,000 ","68,000 ","31,000 ","77,000 ","56,000 ","26,000 ","79,000 ","57,000 ","26,000 ","57,000 ","49,000 ","22,000 ","98,000 ","63,000 ","30,000 "
1998 Q1,England,E92000001,"98,000 ","71,000 ","31,000 ","78,000 ","56,000 ","27,000 ","81,000 ","58,000 ","27,000 ","57,000 ","50,000 ","22,000 ","102,000 ","64,000 ","32,000 "
1998 Q2,England,E92000001,"102,000 ","73,000 ","33,000 ","81,000 ","59,000 ","27,000 ","84,000 ","60,000 ","28,000 ","63,000 ","53,000 ","23,000 ","105,000 ","67,000 ","32,000 "
1998 Q3,England,E92000001,"98,000 ","70,000 ","33,000 ","86,000 ","60,000 ","28,000 ","88,000 ","61,000 ","29,000 ","68,000 ","55,000 ","24,000 ","106,000 ","67,000 ","33,000 "
1998 Q4,England,E92000001,"105,000 ","78,000 ","35,000 ","83,000 ","59,000 ","27,000 ","86,000 ","61,000 ","28,000 ","65,000 ","53,000 ","23,000 ","104,000 ","68,000 ","32,000 "
1999 Q1,England,E92000001,"113,000 ","76,000 ","35,000 ","84,000 ","60,000 ","28,000 ","87,000 ","62,000 ","29,000 ","68,000 ","55,000 ","24,000 ","106,000 ","68,000 ","33,000 "
1999 Q2,England,E92000001,"118,000 ","82,000 ","37,000 ","90,000 ","64,000 ","29,000 ","93,000 ","66,000 ","30,000 ","74,000 ","60,000 ","26,000 ","110,000 ","71,000 ","34,000 "
1999 Q3,England,E92000001,"120,000 ","84,000 ","38,000 ","99,000 ","69,000 ","31,000 ","101,000 ","70,000 ","32,000 ","77,000 ","61,000 ","27,000 ","121,000 ","77,000 ","36,000 "
1999 Q4,England,E92000001,"124,000 ","85,000 ","38,000 ","98,000 ","68,000 ","30,000 ","100,000 ","69,000 ","31,000 ","77,000 ","61,000 ","26,000 ","120,000 ","76,000 ","35,000 "
2000 Q1,England,E92000001,"128,000 ","87,000 ","38,000 ","99,000 ","69,000 ","30,000 ","102,000 ","71,000 ","31,000 ","78,000 ","62,000 ","27,000 ","122,000 ","78,000 ","35,000 "
2000 Q2,England,E92000001,"129,000 ","86,000 ","39,000 ","105,000 ","73,000 ","31,000 ","107,000 ","74,000 ","32,000 ","81,000 ","65,000 ","27,000 ","126,000 ","81,000 ","35,000 "
2000 Q3,England,E92000001,"132,000 ","88,000 ","38,000 ","106,000 ","72,000 ","32,000 ","108,000 ","74,000 ","32,000 ","80,000 ","64,000 ","27,000 ","129,000 ","81,000 ","36,000 "
2000 Q4,England,E92000001,"135,000 ","90,000 ","39,000 ","107,000 ","74,000 ","32,000 ","110,000 ","76,000 ","33,000 ","81,000 ","64,000 ","27,000 ","132,000 ","84,000 ","37,000 "
2001 Q1,England,E92000001,"138,000 ","95,000 ","40,000 ","110,000 ","75,000 ","33,000 ","113,000 ","77,000 ","33,000 ","85,000 ","67,000 ","28,000 ","134,000 ","85,000 ","37,000 "
2001 Q2,England,E92000001,"139,000 ","96,000 ","40,000 ","117,000 ","79,000 ","34,000 ","119,000 ","82,000 ","35,000 ","88,000 ","70,000 ","29,000 ","141,000 ","90,000 ","38,000 "
2001 Q3,England,E92000001,"147,000 ","97,000 ","41,000 ","122,000 ","79,000 ","35,000 ","124,000 ","81,000 ","36,000 ","93,000 ","72,000 ","30,000 ","146,000 ","90,000 ","39,000 "
2001 Q4,England,E92000001,"147,000 ","99,000 ","44,000 ","117,000 ","77,000 ","34,000 ","120,000 ","79,000 ","35,000 ","93,000 ","73,000 ","30,000 ","137,000 ","87,000 ","39,000 "
2002 Q1,England,E92000001,"153,000 ","106,000 ","44,000 ","118,000 ","79,000 ","35,000 ","121,000 ","82,000 ","35,000 ","96,000 ","77,000 ","30,000 ","133,000 ","87,000 ","37,000 "
2002 Q2,England,E92000001,"163,000 ","106,000 ","45,000 ","131,000 ","86,000 ","36,000 ","134,000 ","88,000 ","37,000 ","106,000 ","83,000 ","32,000 ","145,000 ","93,000 ","39,000 "
2002 Q3,England,E92000001,"177,000 ","113,000 ","46,000 ","142,000 ","90,000 ","38,000 ","145,000 ","93,000 ","38,000 ","119,000 ","89,000 ","35,000 ","158,000 ","97,000 ","40,000 "
2002 Q4,England,E92000001,"178,000 ","115,000 ","47,000 ","142,000 ","91,000 ","39,000 ","145,000 ","93,000 ","39,000 ","119,000 ","91,000 ","35,000 ","156,000 ","97,000 ","41,000 "
2003 Q1,England,E92000001,"177,000 ","115,000 ","47,000 ","142,000 ","93,000 ","39,000 ","144,000 ","94,000 ","40,000 ","113,000 ","88,000 ","34,000 ","153,000 ","95,000 ","41,000 "
2003 Q2,England,E92000001,"194,000 ","128,000 ","51,000 ","150,000 ","96,000 ","39,000 ","153,000 ","99,000 ","40,000 ","118,000 ","91,000 ","34,000 ","164,000 ","101,000 ","41,000 "
2003 Q3,England,E92000001,"216,000 ","136,000 ","51,000 ","172,000 ","106,000 ","40,000 ","174,000 ","108,000 ","41,000 ","123,000 ","93,000 ","30,000 ","185,000 ","110,000 ","41,000 "
2003 Q4,England,E92000001,"214,000 ","140,000 ","53,000 ","175,000 ","109,000 ","41,000 ","177,000 ","112,000 ","42,000 ","127,000 ","97,000 ","32,000 ","187,000 ","114,000 ","42,000 "
2004 Q1,England,E92000001,"218,000 ","140,000 ","53,000 ","177,000 ","109,000 ","41,000 ","179,000 ","109,000 ","41,000 ","129,000 ","97,000 ","33,000 ","191,000 ","113,000 ","42,000 "
2004 Q2,England,E92000001,"222,000 ","145,000 ","53,000 ","186,000 ","115,000 ","41,000 ","189,000 ","115,000 ","42,000 ","138,000 ","105,000 ","34,000 ","198,000 ","117,000 ","42,000 "
2004 Q3,England,E92000001,"230,000 ","148,000 ","52,000 ","198,000 ","122,000 ","40,000 ","201,000 ","121,000 ","41,000 ","145,000 ","111,000 ","34,000 ","212,000 ","125,000 ","42,000 "
2004 Q4,England,E92000001,"219,000 ","142,000 ","52,000 ","195,000 ","122,000 ","39,000 ","198,000 ","121,000 ","41,000 ","146,000 ","110,000 ","34,000 ","210,000 ","125,000 ","42,000 "
2005 Q1,England,E92000001,"225,000 ","143,000 ","51,000 ","196,000 ","121,000 ","41,000 ","199,000 ","120,000 ","42,000 ","147,000 ","111,000 ","35,000 ","211,000 ","123,000 ","45,000 "
2005 Q2,England,E92000001,"226,000 ","145,000 ","53,000 ","199,000 ","127,000 ","42,000 ","202,000 ","126,000 ","43,000 ","153,000 ","116,000 ","36,000 ","213,000 ","130,000 ","45,000 "
2005 Q3,England,E92000001,"227,000 ","148,000 ","54,000 ","209,000 ","135,000 ","45,000 ","211,000 ","134,000 ","46,000 ","155,000 ","121,000 ","38,000 ","228,000 ","139,000 ","50,000 "
2005 Q4,England,E92000001,"224,000 ","156,000 ","59,000 ","197,000 ","136,000 ","50,000 ","198,000 ","137,000 ","50,000 ","143,000 ","120,000 ","40,000 ","233,000 ","148,000 ","56,000 "
2006 Q1,England,E92000001,"231,000 ","155,000 ","58,000 ","202,000 ","137,000 ","51,000 ","203,000 ","137,000 ","51,000 ","145,000 ","120,000 ","41,000 ","238,000 ","148,000 ","57,000 "
2006 Q2,England,E92000001,"230,000 ","152,000 ","56,000 ","208,000 ","142,000 ","51,000 ","209,000 ","142,000 ","52,000 ","152,000 ","126,000 ","42,000 ","242,000 ","152,000 ","57,000 "
2006 Q3,England,E92000001,"227,000 ","149,000 ","55,000 ","223,000 ","148,000 ","54,000 ","223,000 ","148,000 ","54,000 ","159,000 ","131,000 ","43,000 ","259,000 ","158,000 ","60,000 "
2006 Q4,England,E92000001,"227,000 ","151,000 ","55,000 ","221,000 ","148,000 ","53,000 ","221,000 ","148,000 ","53,000 ","158,000 ","131,000 ","43,000 ","255,000 ","158,000 ","59,000 "
2007 Q1,England,E92000001,"224,000 ","150,000 ","55,000 ","226,000 ","153,000 ","55,000 ","226,000 ","153,000 ","55,000 ","161,000 ","133,000 ","43,000 ","262,000 ","164,000 ","62,000 "
2007 Q2,England,E92000001,"227,000 ","152,000 ","55,000 ","227,000 ","155,000 ","55,000 ","227,000 ","155,000 ","55,000 ","166,000 ","136,000 ","43,000 ","262,000 ","165,000 ","61,000 "
2007 Q3,England,E92000001,"224,000 ","146,000 ","54,000 ","242,000 ","161,000 ","56,000 ","241,000 ","160,000 ","56,000 ","172,000 ","140,000 ","44,000 ","277,000 ","171,000 ","63,000 "
2007 Q4,England,E92000001,"227,000 ","149,000 ","53,000 ","235,000 ","156,000 ","55,000 ","234,000 ","156,000 ","55,000 ","168,000 ","136,000 ","43,000 ","270,000 ","167,000 ","61,000 "
2008 Q1,England,E92000001,"226,000 ","148,000 ","53,000 ","237,000 ","157,000 ","55,000 ","236,000 ","156,000 ","55,000 ","168,000 ","134,000 ","42,000 ","275,000 ","169,000 ","63,000 "
2008 Q2,England,E92000001,"233,000 ","153,000 ","55,000 ","238,000 ","157,000 ","56,000 ","238,000 ","157,000 ","56,000 ","174,000 ","136,000 ","44,000 ","272,000 ","167,000 ","63,000 "
2008 Q3,England,E92000001,"222,000 ","137,000 ","53,000 ","245,000 ","152,000 ","58,000 ","244,000 ","151,000 ","58,000 ","176,000 ","129,000 ","43,000 ","279,000 ","163,000 ","66,000 "
2008 Q4,England,E92000001,"201,000 ","128,000 ","49,000 ","233,000 ","141,000 ","56,000 ","231,000 ","140,000 ","55,000 ","164,000 ","119,000 ","41,000 ","267,000 ","152,000 ","63,000 "
2009 Q1,England,E92000001,"193,000 ","125,000 ","47,000 ","227,000 ","137,000 ","55,000 ","225,000 ","136,000 ","54,000 ","161,000 ","113,000 ","40,000 ","264,000 ","151,000 ","63,000 "
2009 Q2,England,E92000001,"194,000 ","124,000 ","49,000 ","226,000 ","137,000 ","54,000 ","223,000 ","136,000 ","54,000 ","163,000 ","113,000 ","40,000 ","258,000 ","149,000 ","61,000 "
2009 Q3,England,E92000001,"205,000 ","122,000 ","49,000 ","246,000 ","147,000 ","57,000 ","244,000 ","146,000 ","57,000 ","178,000 ","122,000 ","43,000 ","279,000 ","158,000 ","64,000 "
2009 Q4,England,E92000001,"209,000 ","128,000 ","52,000 ","244,000 ","147,000 ","56,000 ","242,000 ","146,000 ","56,000 ","182,000 ","124,000 ","44,000 ","272,000 ","157,000 ","62,000 "
2010 Q1,England,E92000001,"211,000 ","131,000 ","49,000 ","265,000 ","157,000 ","60,000 ","263,000 ","156,000 ","60,000 ","193,000 ","129,000 ","46,000 ","296,000 ","168,000 ","67,000 "
2010 Q2,England,E92000001,"218,000 ","134,000 ","52,000 ","262,000 ","157,000 ","59,000 ","259,000 ","156,000 ","59,000 ","194,000 ","132,000 ","46,000 ","291,000 ","167,000 ","65,000 "
2010 Q3,England,E92000001,"218,000 ","131,000 ","54,000 ","271,000 ","163,000 ","61,000 ","269,000 ","162,000 ","61,000 ","196,000 ","135,000 ","47,000 ","305,000 ","175,000 ","68,000 "
2010 Q4,England,E92000001,"222,000 ","139,000 ","53,000 ","259,000 ","159,000 ","59,000 ","254,000 ","157,000 ","58,000 ","184,000 ","130,000 ","45,000 ","289,000 ","170,000 ","65,000 "
2011 Q1,England,E92000001,"214,000 ","135,000 ","50,000 ","261,000 ","161,000 ","60,000 ","255,000 ","158,000 ","59,000 ","185,000 ","131,000 ","45,000 ","294,000 ","173,000 ","67,000 "
2011 Q2,England,E92000001,"225,000 ","141,000 ","54,000 ","253,000 ","157,000 ","58,000 ","250,000 ","156,000 ","58,000 ","187,000 ","133,000 ","45,000 ","285,000 ","169,000 ","65,000 "
2011 Q3,England,E92000001,"235,000 ","141,000 ","53,000 ","266,000 ","164,000 ","59,000 ","265,000 ","163,000 ","60,000 ","194,000 ","137,000 ","46,000 ","300,000 ","177,000 ","66,000 "
2011 Q4,England,E92000001,"241,000 ","148,000 ","54,000 ","252,000 ","159,000 ","57,000 ","252,000 ","159,000 ","57,000 ","185,000 ","133,000 ","44,000 ","287,000 ","172,000 ","64,000 "
2012 Q1,England,E92000001,"232,000 ","147,000 ","51,000 ","249,000 ","158,000 ","56,000 ","249,000 ","158,000 ","56,000 ","187,000 ","137,000 ","45,000 ","287,000 ","171,000 ","63,000 "
2012 Q2,England,E92000001,"235,000 ","152,000 ","53,000 ","256,000 ","162,000 ","59,000 ","255,000 ","162,000 ","59,000 ","190,000 ","138,000 ","46,000 ","289,000 ","174,000 ","65,000 "
2012 Q3,England,E92000001,"237,000 ","150,000 ","56,000 ","266,000 ","167,000 ","60,000 ","264,000 ","167,000 ","60,000 ","195,000 ","143,000 ","47,000 ","304,000 ","180,000 ","68,000 "
2012 Q4,England,E92000001,"237,000 ","147,000 ","55,000 ","258,000 ","164,000 ","59,000 ","256,000 ","163,000 ","59,000 ","189,000 ","140,000 ","46,000 ","297,000 ","177,000 ","66,000 "
2013 Q1,England,E92000001,"234,000 ","148,000 ","54,000 ","254,000 ","163,000 ","59,000 ","253,000 ","162,000 ","59,000 ","189,000 ","139,000 ","46,000 ","296,000 ","178,000 ","68,000 "
2013 Q2,England,E92000001,"250,000 ","157,000 ","57,000 ","255,000 ","165,000 ","59,000 ","255,000 ","165,000 ","59,000 ","197,000 ","147,000 ","48,000 ","296,000 ","178,000 ","67,000 "
2013 Q3,England,E92000001,"250,000 ","164,000 ","60,000 ","272,000 ","172,000 ","61,000 ","271,000 ","173,000 ","61,000 ","205,000 ","152,000 ","49,000 ","314,000 ","186,000 ","69,000 "
2013 Q4,England,E92000001,"250,000 ","169,000 ","61,000 ","266,000 ","173,000 ","59,000 ","264,000 ","173,000 ","59,000 ","201,000 ","151,000 ","48,000 ","307,000 ","187,000 ","67,000 "
2014 Q1,England,E92000001,"274,000 ","180,000 ","65,000 ","270,000 ","176,000 ","59,000 ","271,000 ","177,000 ","60,000 ","205,000 ","154,000 ","48,000 ","316,000 ","193,000 ","68,000 "
2014 Q2,England,E92000001,"294,000 ","188,000 ","70,000 ","275,000 ","182,000 ","59,000 ","275,000 ","182,000 ","60,000 ","210,000 ","159,000 ","48,000 ","320,000 ","198,000 ","68,000 "
2014 Q3,England,E92000001,"294,000 ","184,000 ","69,000 ","290,000 ","187,000 ","62,000 ","289,000 ","187,000 ","63,000 ","218,000 ","164,000 ","50,000 ","337,000 ","202,000 ","71,000 "
2014 Q4,England,E92000001,"280,000 ","181,000 ","68,000 ","278,000 ","181,000 ","61,000 ","276,000 ","181,000 ","61,000 ","209,000 ","158,000 ","49,000 ","325,000 ","198,000 ","70,000 "
2015 Q1,England,E92000001,"274,000 ","178,000 ","64,000 ","282,000 ","186,000 ","62,000 ","281,000 ","185,000 ","63,000 ","212,000 ","158,000 ","49,000 ","334,000 ","206,000 ","73,000 "
2015 Q2,England,E92000001,"294,000 ","189,000 ","67,000 ","280,000 ","188,000 ","62,000 ","282,000 ","188,000 ","63,000 ","212,000 ","162,000 ","50,000 ","336,000 ","209,000 ","73,000 "
2015 Q3,England,E92000001,"296,000 ","187,000 ","66,000 ","305,000 ","199,000 ","66,000 ","304,000 ","198,000 ","66,000 ","219,000 ","166,000 ","51,000 ","363,000 ","220,000 ","76,000 "
2015 Q4,England,E92000001,"292,000 ","191,000 ","64,000 ","300,000 ","197,000 ","65,000 ","296,000 ","196,000 ","64,000 ","217,000 ","165,000 ","51,000 ","356,000 ","219,000 ","75,000 "
2016 Q1,England,E92000001,"300,000 ","194,000 ","66,000 ","311,000 ","206,000 ","67,000 ","310,000 ","205,000 ","67,000 ","223,000 ","169,000 ","52,000 ","373,000 ","230,000 ","78,000 "
2016 Q2,England,E92000001,"293,000 ","191,000 ","63,000 ","282,000 ","191,000 ","60,000 ","283,000 ","191,000 ","60,000 ","220,000 ","169,000 ","50,000 ","347,000 ","213,000 ","70,000 "
2016 Q3,England,E92000001,"299,000 ","193,000 ","64,000 ","302,000 ","201,000 ","64,000 ","302,000 ","201,000 ","64,000 ","226,000 ","173,000 ","51,000 ","369,000 ","225,000 ","74,000 "
2016 Q4,England,E92000001,"315,000 ","201,000 ","66,000 ","297,000 ","197,000 ","62,000 ","299,000 ","198,000 ","63,000 ","225,000 ","171,000 ","50,000 ","364,000 ","221,000 ","74,000 "
2017 Q1,England,E92000001,"302,000 ","192,000 ","63,000 ","290,000 ","194,000 ","61,000 ","292,000 ","194,000 ","61,000 ","221,000 ","164,000 ","49,000 ","357,000 ","221,000 ","72,000 "
2017 Q2,England,E92000001,"316,000 ","203,000 ","64,000 ","294,000 ","199,000 ","61,000 ","298,000 ","199,000 ","62,000 ","228,000 ","171,000 ","50,000 ","362,000 ","226,000 ","73,000 "
2017 Q3,England,E92000001,"316,000 ","203,000 ","64,000 ","305,000 ","204,000 ","63,000 ","306,000 ","204,000 ","63,000 ","229,000 ","173,000 ","50,000 ","373,000 ","230,000 ","74,000 "
2017 Q4,England,E92000001,"319,000 ","206,000 ","64,000 ","291,000 ","196,000 ","60,000 ","296,000 ","198,000 ","60,000 ","225,000 ","170,000 ","49,000 ","359,000 ","223,000 ","70,000 "
2018 Q1,England,E92000001,"316,000 ","203,000 ","63,000 ","295,000 ","199,000 ","61,000 ","298,000 ","199,000 ","61,000 ","227,000 ","170,000 ","50,000 ","367,000 ","227,000 ","72,000 "
2018 Q2,England,E92000001,"321,000 ","208,000 ","64,000 ","292,000 ","200,000 ","60,000 ","297,000 ","201,000 ","61,000 ","232,000 ","174,000 ","50,000 ","362,000 ","228,000 ","72,000 "
2018 Q3,England,E92000001,"322,000 ","207,000 ","65,000 ","306,000 ","208,000 ","63,000 ","308,000 ","207,000 ","63,000 ","236,000 ","179,000 ","51,000 ","376,000 ","234,000 ","74,000 "
2018 Q4,England,E92000001,"314,000 ","204,000 ","62,000 ","294,000 ","201,000 ","60,000 ","298,000 ","202,000 ","61,000 ","231,000 ","175,000 ","50,000 ","361,000 ","227,000 ","71,000 "
2019 Q1,England,E92000001,"313,000 ","201,000 ","62,000 ","288,000 ","200,000 ","60,000 ","292,000 ","200,000 ","60,000 ","227,000 ","173,000 ","49,000 ","358,000 ","228,000 ","71,000 "
2019 Q2,England,E92000001,"314,000 ","206,000 ","64,000 ","289,000 ","203,000 ","61,000 ","294,000 ","204,000 ","62,000 ","231,000 ","176,000 ","50,000 ","359,000 ","232,000 ","73,000 "
2019 Q3,England,E92000001,"320,000 ","207,000 ","65,000 ","305,000 ","212,000 ","63,000 ","307,000 ","210,000 ","64,000 ","234,000 ","180,000 ","52,000 ","378,000 ","240,000 ","75,000 "
2019 Q4,England,E92000001,"319,000 ","209,000 ","64,000 ","303,000 ","210,000 ","63,000 ","306,000 ","211,000 ","63,000 ","235,000 ","180,000 ","51,000 ","375,000 ","239,000 ","74,000 "
2020 Q1,England,E92000001,"324,000 ","209,000 ","65,000 ","305,000 ","214,000 ","64,000 ","308,000 ","213,000 ","64,000 ","237,000 ","182,000 ","52,000 ","378,000 ","244,000 ","76,000 "
2020 Q2,England,E92000001,"316,000 ","209,000 ","65,000 ","292,000 ","208,000 ","62,000 ","295,000 ","208,000 ","63,000 ","231,000 ","180,000 ","51,000 ","366,000 ","240,000 ","75,000 "
2020 Q3,England,E92000001,"330,000 ","217,000 ","67,000 ","334,000 ","230,000 ","69,000 ","333,000 ","227,000 ","68,000 ","254,000 ","192,000 ","55,000 ","408,000 ","261,000 ","82,000 "
2020 Q4,England,E92000001,"336,000 ","219,000 ","67,000 ","350,000 ","236,000 ","70,000 ","347,000 ","233,000 ","70,000 ","262,000 ","194,000 ","55,000 ","417,000 ","264,000 ","82,000 "
2021 Q1,England,E92000001,"345,000 ","220,000 ","68,000 ","367,000 ","242,000 ","72,000 ","364,000 ","239,000 ","72,000 ","273,000 ","200,000 ","57,000 ","427,000 ","266,000 ","82,000 "
2021 Q2,England,E92000001,"338,000 ","217,000 ","67,000 ","366,000 ","243,000 ","72,000 ","362,000 ","239,000 ","72,000 ","272,000 ","201,000 ","57,000 ","435,000 ","270,000 ","83,000 "
2021 Q3,England,E92000001,"305,000 ","201,000 ","62,000 ","311,000 ","214,000 ","63,000 ","311,000 ","212,000 ","63,000 ","236,000 ","181,000 ","51,000 ","386,000 ","243,000 ","75,000 "
2021 Q4,England,E92000001,"319,000 ","210,000 ","64,000 ","333,000 ","227,000 ","66,000 ","330,000 ","224,000 ","65,000 ","247,000 ","188,000 ","52,000 ","433,000 ","268,000 ","81,000 "
2022 Q1,England,E92000001,"338,000 ","219,000 ","66,000 ","351,000 ","240,000 ","69,000 ","349,000 ","236,000 ","69,000 ","261,000 ","198,000 ","55,000 ","444,000 ","278,000 ","84,000 "
2022 Q2,England,E92000001,"340,000 ","227,000 ","67,000 ","360,000 ","249,000 ","72,000 ","356,000 ","245,000 ","71,000 ","272,000 ","207,000 ","57,000 ","451,000 ","287,000 ","86,000 "
2022 Q3,England,E92000001,"346,000 ","229,000 ","69,000 ","380,000 ","260,000 ","75,000 ","375,000 ","255,000 ","74,000 ","282,000 ","216,000 ","60,000 ","473,000 ","297,000 ","90,000 "
2022 Q4,England,E92000001,"339,000 ","226,000 ","69,000 ","366,000 ","249,000 ","73,000 ","361,000 ","245,000 ","73,000 ","277,000 ","212,000 ","60,000 ","454,000 ","282,000 ","87,000 "
2023 Q1,England,E92000001,"336,000 ","216,000 ","71,000 ","347,000 ","232,000 ","72,000 ","345,000 ","230,000 ","72,000 ","266,000 ","201,000 ","59,000 ","436,000 ","264,000 ","87,000 "
2023 Q2,England,E92000001,"333,000 ","220,000 ","74,000 ","351,000 ","235,000 ","75,000 ","348,000 ","233,000 ","75,000 ","268,000 ","204,000 ","61,000 ","436,000 ","265,000 ","90,000 "
2023 Q3,England,E92000001,"326,000 ","211,000 ","73,000 ","368,000 ","245,000 ","78,000 ","363,000 ","240,000 ","78,000 ","276,000 ","210,000 ","63,000 ","455,000 ","272,000 ","93,000 "
2023 Q4,England,E92000001,"320,000 ","211,000 ","74,000 ","348,000 ","231,000 ","76,000 ","344,000 ","228,000 ","76,000 ","265,000 ","202,000 ","62,000 ","433,000 ","257,000 ","90,000 "
2024 Q1,England,E92000001,"308,000 ","206,000 ","74,000 ","346,000 ","233,000 ","77,000 ","341,000 ","230,000 ","77,000 ","262,000 ","201,000 ","63,000 ","436,000 ","264,000 ","95,000 "
2024 Q2,England,E92000001,"328,000 ","225,000 ","77,000 ","351,000 ","241,000 ","78,000 ","348,000 ","238,000 ","78,000 ","273,000 ","212,000 ","64,000 ","439,000 ","270,000 ","95,000 "
2024 Q3,England,E92000001,"332,000 ","224,000 ","78,000 ","369,000 ","251,000 ","81,000 ","365,000 ","248,000 ","80,000 ","282,000 ","219,000 ","65,000 ","460,000 ","281,000 ","98,000 "
2024 Q4,England,E92000001,"335,000 ","234,000 ","78,000 ","359,000 ","247,000 ","78,000 ","356,000 ","245,000 ","78,000 ","279,000 ","219,000 ","65,000 ","446,000 ","276,000 ","94,000 "
2025 Q1,England,E92000001,"343,000 ","241,000 ","79,000 ","371,000 ","257,000 ","80,000 ","368,000 ","255,000 ","79,000 ","296,000 ","232,000 ","67,000 ","448,000 ","281,000 ","93,000 "
2025 Q2,England,E92000001,"335,000 ","240,000 ","76,000 ","334,000 ","236,000 ","74,000 ","334,000 ","237,000 ","74,000 ","259,000 ","206,000 ","61,000 ","438,000 ","279,000 ","92,000 "
